STREAM,ADMNO,ENG,KIS,MAT,BIO,PHY,CHE,HIS,GEO,CRE,HSC,AD,AGR,COM,FRE,GER,MUS,BST
NORTH,6869,61,65,35,48,,48,,27,55,,,,,,85,,
ALPHA,6798,60,68,55,58,56,54,,,60,,,67,,,,,
SOUTH,6694,53,66,50,62,45,65,,,77,,,,,65,,,
ALPHA,6630,62,65,45,49,,56,,40,59,,,,,,,,65
NORTH,6657,46,48,43,54,,53,51,,65,,,,,,,,60
ALPHA,6720,58,60,55,52,33,56,,,59,,,,,,82,,
,6645,54,59,48,46,35,67,,32,53,,,,,,,,
NORTH,6835,53,40,50,52,46,57,,,70,,,,65,,,,
SOUTH,6658,47,60,46,46,,45,55,,68,50,,,,,,,
,6866,68,66,60,46,,37,72,,60,,,,,,,,72
ALPHA,6949,57,50,45,60,,58,,55,53,,,49,,,,,
,6629,57,74,42,49,,60,,32,66,,,,,,,,
WEST,6844,49,73,31,44,,53,48,,70,51,,,,,,,
ALPHA,6618,60,59,50,45,,59,,33,50,,,,,68,,,
ALPHA,6690,48,69,46,44,,46,68,,56,,,,,,,,50
SOUTH,6796,59,60,53,50,45,62,,46,67,,,,,,,,
,6703,61,64,50,51,43,49,,,58,,,60,,,,,
CENTRAL,6885,45,43,45,31,,57,,41,60,,,61,,,,,
SOUTH,6604,56,71,60,60,60,61,,,59,,77,,,,,,
WEST,6695,42,66,42,56,,63,55,,58,,,,,,,,60
,6640,64,66,45,40,40,49,51,,60,,,,,,,,
SOUTH,6760,57,59,60,35,,40,,44,61,,,,,31,,,
WEST,6737,57,63,38,54,,53,,38,72,,,,,,,,69
SOUTH,6628,60,68,51,53,28,60,,,73,,,,67,,,,
EAST,6704,52,60,38,50,,51,29,,54,,,44,,,,,
ALPHA,6666,58,60,55,45,44,53,,45,60,,,,,,,,
EAST,6899,64,55,63,34,29,50,,,47,,,,64,,,,
SOUTH,6814,63,60,45,51,41,55,57,,62,,,,,,,,
SOUTH,6790,62,68,36,46,,56,,52,73,,,,,,,,67
ALPHA,6774,50,54,35,48,,62,,35,51,,,67,,,,,
CENTRAL,6745,57,70,58,57,,53,39,,60,,,,,,,,57
,6638,62,50,42,62,,44,70,,76,,,,,,,,60
,6740,57,54,52,48,,70,51,,45,,,,,56,,,
EAST,6892,61,50,61,58,36,55,,,51,,,,,,,,81
,6644,48,71,50,45,35,58,,,77,,,,66,,,,
,6759,58,48,36,49,,43,51,,58,,,,,74,,,
NORTH,6881,46,49,57,40,,46,49,,46,,,,,59,,,
SOUTH,6832,60,64,33,45,38,54,,32,56,,,,,,,,
EAST,6886,56,46,45,50,53,55,,45,39,,,,,,,,
NORTH,6621,66,53,53,52,,54,,40,61,,,,,52,,,
CENTRAL,6846,56,58,59,50,48,73,,,78,,,,,71,,,
EAST,6746,60,55,32,40,,42,,40,61,52,,,,,,,
,6859,55,59,30,44,38,61,,,48,,,,72,,,,
SOUTH,6864,51,75,26,51,43,65,,42,68,,,,,,,,
WEST,6707,58,65,38,44,,54,52,,68,,,,,,,,64
EAST,6680,51,51,51,42,36,67,,,51,,,,,,,,85
ALPHA,6636,51,61,35,41,,52,,26,51,,,,,,,,65
,6763,55,56,38,45,,46,,35,60,,,68,,,,,
CENTRAL,6907,61,45,57,45,,42,,37,51,,,,66,,,,
,6777,46,53,39,49,,45,52,,57,,,,,,,,72
NORTH,6831,50,49,42,51,,38,59,,76,,,,,,,,59
CENTRAL,6930,58,58,65,51,46,70,,,60,,,,,73,,,
WEST,6809,55,51,43,38,31,62,,45,61,,,,,,,,
EAST,6792,69,58,55,61,,57,,47,70,,,,,,,61,
NORTH,6909,55,45,51,44,,58,,21,53,43,,,,,,,
,6619,56,54,59,45,36,56,,,60,,,,,,,,60
,6811,60,53,42,53,23,66,,45,67,,,,,,,,
CENTRAL,6903,62,60,61,36,51,58,,54,56,,,,,,,,
,6806,59,51,53,50,50,53,,,47,,,,,95,,,
,6834,47,39,54,32,40,43,,45,37,,,,,,,,
,6874,56,55,55,62,39,62,,,65,,,,54,,,,
EAST,6908,50,60,69,45,36,67,,,58,,,,,,,57,
WEST,6719,44,58,31,37,,40,62,,62,49,,,,,,,
CENTRAL,6673,47,45,48,38,,51,44,,65,,,53,,,,,
,6687,41,46,45,59,,51,60,,59,,,,,,,,61
,6723,43,54,51,41,40,62,40,,53,,,,,,,,
NORTH,6915,47,54,41,50,47,55,,30,66,,,,,,,,
WEST,6617,50,69,40,52,48,55,,,60,,,,,,,,65
,6653,50,63,36,48,31,56,,,60,,,,,,66,,
WEST,6785,55,61,43,51,,50,67,,64,,,,,,,,67
,6642,52,60,57,56,,61,,48,61,,,,,,,,61
ALPHA,6851,61,59,61,55,61,67,43,,59,,,,,,,,
CENTRAL,6721,46,66,39,37,,45,,16,55,,,47,,,,,
EAST,6722,58,53,36,50,,45,,15,51,,,58,,,,,
WEST,6803,52,49,40,44,,44,,29,55,,,,,,87,,
CENTRAL,6926,53,46,39,47,,45,60,,48,,,51,,,,,
EAST,6847,61,49,53,50,28,50,,,59,,,,,,76,,
NORTH,6863,52,58,61,60,43,62,,,64,,,,67,,,,
WEST,6731,49,48,39,44,34,54,59,,67,,,,,,,,
ALPHA,6738,48,56,35,51,,40,,34,50,,,38,,,,,
CENTRAL,6913,62,60,43,38,28,58,,,47,,,,,76,,,
EAST,6662,49,45,31,41,38,58,,44,54,,,,,,,,
NORTH,6875,52,56,64,43,45,63,,,56,,,,70,,,,
SOUTH,6754,55,54,64,45,30,48,,52,67,,,,,,,,
WEST,6713,63,70,42,65,48,49,,,73,,,74,,,,,
ALPHA,6878,47,55,56,41,,52,40,,40,,,,,,,,55
EAST,6656,53,46,23,41,,38,56,,45,,,,,,,,63
SOUTH,6778,58,65,46,63,44,60,,,61,,,71,,,,,
WEST,6701,64,56,43,45,,43,,32,67,,,,,,,,63
EAST,6674,59,60,57,47,51,50,,,55,,,,,,68,,
SOUTH,6839,53,49,60,41,33,50,,,59,,,,,,,,56
,6883,58,48,38,40,33,45,,27,61,,,,,,,,
WEST,7301,66,60,51,33,38,43,,,58,,,,,81,,,
,6861,53,46,42,43,49,62,,49,77,,,,,,,,
CENTRAL,6879,55,48,54,45,40,60,,31,57,,,,,,,,
EAST,6800,65,59,38,43,,45,,31,58,,,48,,,,,
SOUTH,6646,50,44,20,40,,38,,38,61,40,,,,,,,
EAST,6692,55,64,27,57,,45,,40,50,,,,,,,,59
NORTH,6887,51,54,27,46,,58,56,,62,,,,,,,,61
ALPHA,6648,58,50,51,50,,49,44,,54,,53,,,,,,
SOUTH,6730,52,58,36,47,36,48,,,60,,,,53,,,,
ALPHA,6708,40,51,51,46,,48,46,,43,,,,,,,,47
,6655,55,54,61,36,38,42,,31,49,,,,,,,,
CENTRAL,6793,61,68,51,51,60,60,,,64,,,,,,,,67
SOUTH,6943,49,63,46,42,38,45,,,48,,,,,,,,46
ALPHA,6678,45,43,68,57,53,71,,,44,,,60,,,,,
SOUTH,6706,52,60,53,58,48,65,,,72,,,,,,,,70
NORTH,6663,53,46,47,47,33,60,,,52,,,,48,,,,
SOUTH,6676,51,64,21,41,,38,60,,72,,,66,,,,,
,6804,46,55,48,42,,38,,35,54,,,53,,,,,
ALPHA,6931,53,59,66,43,,50,53,,42,,,,35,,,,
NORTH,6801,33,46,20,37,,23,66,,47,,,46,,,,,
,6609,52,64,52,47,36,58,,,55,,,,60,,,,
NORTH,6711,49,55,48,53,40,58,,,61,,,,,,,,67
,6779,56,55,54,52,36,37,,41,55,,,,,,,,
WEST,6865,51,55,37,33,,39,45,,50,,,,,,,,53
EAST,6668,62,44,43,42,,49,53,,66,,,49,,,,,
,6700,57,50,19,53,33,56,,,80,,,,,62,,,
,6855,68,68,42,58,50,56,,,63,,,,,,85,,
SOUTH,6876,60,60,43,58,45,56,,,50,,,,,,72,,
WEST,6815,56,63,25,57,,37,64,,64,,,39,,,,,
SOUTH,6894,56,66,41,35,,46,56,,64,,,,53,,,,
,6767,59,50,32,37,,33,58,,59,,,,,,75,,
WEST,6877,61,46,34,36,,36,45,,55,,75,,,,,,
NORTH,6765,60,56,43,47,,60,,44,59,,,,,69,,,
ALPHA,6714,54,61,39,43,,56,,29,56,,,,38,,,,
,6728,46,50,40,55,,51,,34,51,,,,50,,,,
EAST,6824,57,49,33,56,29,61,,,45,,,,,50,,,
,6712,51,58,21,33,,30,45,,64,,,,37,,,,
SOUTH,6849,54,68,51,33,38,37,,,69,46,,,,,,,
CENTRAL,6799,57,53,56,45,39,55,,,53,,,,,,,,48
ALPHA,6822,54,68,58,48,28,55,,,61,,,,,,71,,
CENTRAL,6867,52,51,22,49,,42,,31,53,,,,,,,,58
,6705,50,53,41,37,,36,67,,45,,,48,,,,,
NORTH,6795,47,45,40,40,,31,,22,51,,,,48,,,,
,6802,54,71,35,57,,50,,65,61,,,,,68,,,
SOUTH,6826,59,61,39,47,,54,,46,65,,,,,,,48,
EAST,6788,53,54,52,57,34,49,,,37,,,,,,,,62
CENTRAL,6601,50,71,56,51,45,42,,36,59,,,,,,,,
EAST,6841,53,51,56,30,50,47,,48,41,,,,,,,,
EAST,6904,56,58,67,46,41,43,,,40,,,,,,,,66
,6603,50,53,42,34,,53,44,,49,,,,,,72,,
NORTH,6905,65,50,24,30,,26,58,,48,,,50,,,,,
ALPHA,6684,49,60,30,43,33,50,47,,57,,,,,,,,
,6751,56,61,43,42,,41,,30,56,,,,,58,,,
CENTRAL,6805,61,54,40,39,,44,,37,60,,,53,,,,,
WEST,7299,55,53,39,32,38,46,,34,59,,,,,,,,
CENTRAL,7236,52,46,26,35,31,34,,,57,57,,,,,,,
SOUTH,6748,51,38,30,48,,44,28,,73,,,52,,,,,
EAST,6602,50,49,53,36,,34,34,,49,,,,,,57,,
SOUTH,6610,49,64,30,43,,35,,31,64,,,,,,,,54
ALPHA,6606,51,58,47,53,35,46,,,51,,72,,,,,,
EAST,6880,46,51,52,60,36,52,,,43,,,,,,,53,
NORTH,6741,38,43,29,41,,50,24,,44,,,42,,,,,
CENTRAL,6836,65,39,41,34,41,39,,39,47,,,,,,,,
EAST,6716,49,44,28,36,,32,47,,55,,65,,,,,,
WEST,6939,65,33,40,37,,36,36,,40,,,,,,,64,
,6627,38,48,26,49,,43,52,,47,,,,,,,,57
,6693,46,51,27,39,,46,30,,64,35,,,,,,,
NORTH,6934,52,40,39,37,,47,,24,60,,,,,,,,57
,6756,51,65,28,44,,42,,,47,,,,,,,,62
ALPHA,6845,55,53,45,41,31,50,,,51,,,,,,,,63
CENTRAL,6667,54,50,33,40,,40,74,,65,,,,,,,,67
SOUTH,6688,51,66,41,41,,42,,40,60,,,,54,,,,
WEST,6821,62,66,39,51,35,56,,,72,,,,,,,,56
ALPHA,6750,50,56,39,43,35,32,,,50,,,,,,,,60
CENTRAL,6643,50,49,36,29,,34,,17,48,,,,,,,,32
EAST,6620,52,51,56,46,,43,47,,58,,,,,,,,54
SOUTH,6664,52,41,27,40,24,43,,32,62,,,,,,,,
WEST,6797,51,63,44,49,33,51,,41,50,,,,,,,,
,6652,44,50,38,43,38,51,,,65,43,,,,,,,
SOUTH,6927,49,56,53,40,,45,,29,67,,,,,,,55,
WEST,6901,50,50,32,23,,32,,29,47,,,,,,,,55
EAST,6691,43,45,31,48,,35,,30,42,,,,,,,,20
NORTH,6789,48,59,23,43,,36,,24,70,45,,,,,,,
ALPHA,6896,55,53,36,44,,46,38,,58,,,,,,,,56
SOUTH,6843,51,60,44,40,,51,,25,63,,66,,,,,,
CENTRAL,6873,50,50,23,34,,45,61,,52,43,,,,,,,
SOUTH,6946,57,53,40,41,29,45,,,59,,,,,57,,,
ALPHA,6906,48,55,47,43,32,33,57,,48,,,,,,,,
CENTRAL,6775,53,45,30,38,,40,,30,53,,,,,,,,39
NORTH,6921,60,44,35,36,,45,,32,50,,,,,,,39,
WEST,6917,42,50,35,38,,32,20,,52,,,,35,,,,
ALPHA,6696,55,61,48,44,,52,62,,51,,,,35,,,,
CENTRAL,6852,60,48,38,46,,39,,37,63,,,,,36,,,
WEST,6911,49,53,32,25,,27,32,,55,,52,,,,,,
CENTRAL,6709,52,58,30,37,,40,,29,39,62,,,,,,,
SOUTH,6888,58,63,30,45,44,49,,,50,,,,41,,,,
EAST,6698,53,40,21,40,,34,55,,56,,,42,,,,,
WEST,6671,0,0,46,0,,0,,,0,,,0,,,,,
ALPHA,6786,49,46,46,38,,36,,24,49,,,,,,,,51
CENTRAL,6919,67,50,39,39,34,40,,30,34,,,,,,,,
SOUTH,6766,43,56,31,27,26,35,,36,57,,,,,,,,
WEST,6857,53,44,18,31,,20,46,,51,44,,,,,,,
EAST,6614,52,45,20,42,38,49,,,55,,,,56,,,,
CENTRAL,6679,53,46,21,40,,40,58,,52,,,,,,,,36
ALPHA,6916,57,65,37,26,30,49,,,40,,,,31,,,,
CENTRAL,6823,50,35,32,37,,34,,40,36,,,47,,,,,
SOUTH,6922,50,58,11,43,,19,,44,62,,,,,,,,49
EAST,6776,41,43,36,40,,38,,14,61,,,52,,,,,
SOUTH,6944,40,45,27,32,24,45,,,50,,,,,,,,65
ALPHA,6612,51,64,30,36,,28,,29,52,,,,,,,,70
NORTH,6651,55,50,27,26,,33,43,,42,46,,,,,,,
ALPHA,6816,52,53,41,34,,39,33,,50,53,,,,,,,
NORTH,6747,48,44,27,36,,40,58,,56,41,,,,,,,
ALPHA,6872,42,41,30,28,,43,35,,35,,,,38,,,,
SOUTH,6882,45,65,48,48,39,50,,,60,,,,,,,42,
NORTH,6675,46,50,18,23,,25,28,,48,,,,34,,,,
NORTH,6893,44,50,25,45,,37,45,,31,,,,,,,49,
WEST,6685,50,50,29,44,,47,55,,53,,,,,,,,50
CENTRAL,6769,62,60,27,46,,35,,24,56,,,56,,,,,
,6699,0,0,,0,,,,0,0,,,,,0,,,
NORTH,6783,52,43,31,39,,26,44,,52,,60,,,,,,
SOUTH,6784,53,56,23,27,,25,,24,57,,,,,65,,,
ALPHA,6780,49,48,26,27,,30,,23,45,34,,,,,,,
NORTH,6854,59,54,55,32,25,47,,,38,,,,,32,,,
WEST,6871,48,69,38,25,,40,21,,32,,,,,,,,50
,6600,37,50,35,38,,29,46,,48,,,,,33,,,
ALPHA,6768,48,48,32,33,,33,,30,43,,,61,,,,,
NORTH,6929,47,49,30,30,,51,,20,43,,,,,,,,28
WEST,6773,34,46,19,21,,33,,20,59,41,,,,,,,
ALPHA,6918,54,53,32,27,,28,39,,45,,55,,,,,,
WEST,6635,46,41,16,18,,15,,22,59,,,,,,,,42
SOUTH,6616,44,48,20,30,,34,45,,53,,,,,48,,,
WEST,6850,54,51,27,35,,26,,31,39,,,,,,,,50
SOUTH,6718,42,46,26,38,,43,,24,62,,,,,,,,45
NORTH,6729,43,50,17,33,,22,,20,35,48,,,,,,,
EAST,6925,51,43,12,35,,19,,16,38,,,32,,,,,
EAST,6734,46,34,30,30,,36,45,,37,,,,,37,,,
,6623,41,41,38,28,33,45,,,37,,,,,,,32,
WEST,6889,45,48,33,36,,29,,,48,33,,,,,,,
NORTH,6771,45,54,55,33,18,34,,,60,,,,,53,,,
SOUTH,6625,47,48,20,30,,34,,21,59,,,,,,,35,
ALPHA,6902,52,55,40,31,24,45,26,,41,,,,,,,,
ALPHA,6828,40,43,17,32,,25,,36,38,,,44,,,,,
CENTRAL,6717,0,0,0,0,,0,0,,0,,,,0,,,,
SOUTH,6742,47,40,28,23,,34,,24,53,,,34,,,,,
ALPHA,6624,42,48,16,26,,18,35,,50,38,,,,,,,
SOUTH,6870,51,54,23,25,24,35,,,37,,,,,,,,42
WEST,6895,56,31,16,23,,19,34,,66,40,,,,,,,
EAST,6770,53,40,19,42,,15,28,,30,35,,,,,,,
EAST,6818,29,30,33,26,,30,,27,29,46,,,,,,,
WEST,6856,45,46,24,21,,32,25,,31,32,,,,,,,
,6631,48,39,42,44,,30,,36,46,47,,,,,,,
,6661,48,54,8,30,,31,42,,49,46,,,,,,,
,6757,51,41,17,38,,27,,17,65,35,,,,,,,
CENTRAL,6897,57,51,25,39,,48,39,,55,,,,,,,,37
ALPHA,7179,76,83,82,64,77,82,,,83,,,,86,,,,
SOUTH,7135,72,81,83,67,78,84,,,90,,,,,,,,79
EAST,7193,81,70,81,73,81,77,,,70,,,,,91,,,
EAST,6977,74,65,76,74,83,82,,,82,,,,85,,,,
WEST,6992,71,81,84,73,,79,,69,77,,,,,,,,88
EAST,7091,68,70,77,72,,78,94,,78,84,,,,,,,
NORTH,7014,70,82,70,68,72,80,,,89,,,,,92,,,
EAST,7013,71,70,75,71,71,75,,,90,,,,86,,,,
EAST,6953,74,74,84,69,79,72,,,80,,,,88,,,,
,7066,64,86,77,72,80,78,,71,83,,,,,,,,
CENTRAL,7132,77,83,77,65,61,72,,,84,,,,,,,,85
EAST,7121,65,75,77,67,72,75,90,,82,,,,,,,,
EAST,7043,82,70,62,68,,71,90,,78,,,,,,,,83
SOUTH,7141,71,85,87,69,70,74,73,,77,,,,,,,,
SOUTH,6979,70,69,66,81,,81,,72,90,,,,,,72,,
EAST,7025,85,74,58,71,,74,86,,80,,,,,77,,,
WEST,7112,69,87,87,68,69,84,,66,77,,,,,,,,
EAST,7259,73,71,63,72,75,72,91,,86,,,,,,,,
NORTH,6972,66,76,70,70,61,80,,,82,,,,,,,,94
ALPHA,7035,81,54,75,73,75,72,79,,75,,,,,,,,
WEST,7118,76,76,71,62,65,75,,,78,,,,79,,,,
SOUTH,7033,58,76,69,68,,75,73,,88,,,,86,,,,
NORTH,7182,70,76,65,66,,64,78,,85,,,,,,,,78
,7083,66,70,68,66,73,70,,,77,,,,,,,,88
ALPHA,7263,71,74,73,71,57,75,,,76,,,,80,,,,
WEST,6968,68,85,60,72,,60,77,,82,,,,71,,,,
EAST,7181,75,75,60,76,62,75,,,78,,,,,,66,,
WEST,7028,69,80,53,71,,59,84,,84,,,89,,,,,
EAST,7187,74,66,69,71,66,65,,,75,,,,,,,,86
,6961,73,81,50,67,61,74,,,86,,,,,,,,86
,7015,65,76,55,70,,52,85,,88,,,85,,,,,
SOUTH,7147,75,81,51,73,58,68,90,,84,,,,,,,,
WEST,7184,72,88,65,60,66,74,,68,84,,,,,,,,
ALPHA,7077,63,81,65,65,65,66,,,80,,,,86,,,,
,6991,71,79,81,62,73,73,,55,75,,,,,,,,
SOUTH,7159,56,75,77,78,62,79,,,77,,,,,,67,,
WEST,7124,66,83,55,74,,55,,75,77,,,,,,,,81
ALPHA,7173,72,71,66,69,79,74,,64,79,,,,,,,,
,7108,74,70,65,67,65,56,88,,91,,,,,,,,
CENTRAL,7210,77,78,75,54,69,62,87,,70,,,,,,,,
WEST,7256,74,81,57,70,,49,79,,87,,,,,,,,80
,7148,66,73,75,63,60,72,79,,80,,,,,,,,
WEST,7166,63,76,53,66,,60,85,,84,,,82,,,,,
CENTRAL,7270,72,69,67,65,63,65,78,,90,,,,,,,,
EAST,7019,80,76,76,57,69,64,,,68,,,,78,,,,
WEST,7254,67,78,53,72,,65,85,,84,,,,,,61,,
ALPHA,6987,71,63,61,67,68,70,,75,81,,,,,,,,
,7002,74,76,46,56,,70,80,,76,,,83,,,,,
,7008,51,64,82,76,64,70,,,73,,,,,,,,83
NORTH,7104,70,65,68,62,,71,75,,80,68,,,,,,,
SOUTH,7039,62,69,68,65,,70,73,,80,,,,,,,,77
WEST,7058,58,73,50,67,,73,80,,79,,,86,,,,,
,7105,71,68,75,64,51,76,,68,83,,,,,,,,
,7171,79,72,63,55,63,72,,72,83,,,,,,,,
SOUTH,7285,68,61,50,71,,66,80,,79,,,85,,,,,
ALPHA,7209,71,66,70,65,,63,,61,73,,,,81,,,,
NORTH,7230,73,75,66,68,52,70,,,77,,,,73,,,,
,7133,68,82,68,59,67,68,,72,72,,,,,,,,
EAST,7205,67,69,49,69,,67,81,,72,,,84,,,,,
NORTH,7212,52,58,63,70,,71,,76,79,,,93,,,,,
SOUTH,7225,60,39,57,72,,77,82,,84,,,88,,,,,
ALPHA,7227,74,73,51,65,,68,82,,78,,,,,,62,,
EAST,7037,68,70,52,73,60,71,,,80,,,,,,,,80
ALPHA,7011,67,59,50,75,,65,,65,79,,,89,,,,,
,7046,66,76,52,62,,58,69,,83,,,,83,,,,
WEST,7284,49,84,50,75,,62,89,,74,,,,72,,,,
CENTRAL,6958,65,71,71,50,60,68,70,,90,,,,,,,,
,6973,76,70,59,67,,61,69,,86,,,,,,60,,
SOUTH,7207,65,59,47,68,,70,82,,75,,,77,,,,,
,7010,69,76,66,67,56,54,,,77,,,83,,,,,
,7040,66,78,62,45,,57,77,,78,,,81,,,,,
WEST,7070,60,78,72,47,59,65,,,83,,,82,,,,,
CENTRAL,7180,65,83,53,47,,51,81,,90,,,80,,,,,
,7149,55,65,57,58,76,67,,,82,,,,,,,,80
ALPHA,7197,59,73,60,69,57,71,,,76,,75,,,,,,
CENTRAL,7012,70,80,50,59,65,50,,,87,,,,85,,,,
EAST,7055,78,74,55,58,56,67,,,84,70,,,,,,,
SOUTH,7195,58,65,67,65,,64,,58,81,,,82,,,,,
,7004,59,81,60,64,,59,71,,77,,,70,,,,,
WEST,7226,61,89,61,52,,59,71,,76,,,79,,,,,
CENTRAL,6970,67,66,75,45,62,64,,,81,,,,,,,,77
SOUTH,7045,55,81,64,55,,73,71,,76,,,,,,,,63
EAST,7217,65,80,44,68,,76,96,,73,,,,,,51,,
,6960,65,63,74,59,69,60,,,76,,,,74,,,,
ALPHA,7251,53,60,61,68,,56,89,,80,,,,,,,,79
SOUTH,7213,72,70,49,55,,64,,68,80,,,,,,,,84
,7178,80,75,67,58,66,52,,,85,,,,,,,,59
WEST,7208,74,65,54,57,,52,80,,84,,,,,,,78,
CENTRAL,7144,59,66,65,56,,64,77,,83,,,,69,,,,
EAST,6965,61,70,62,59,65,71,,,83,,,,,,63,,
NORTH,7050,69,76,48,66,50,72,76,,80,,,,,,,,
WEST,6998,65,68,51,66,,48,83,,76,,,79,,,,,
NORTH,7128,70,56,77,60,55,65,,,72,,,,,71,,,
SOUTH,7189,66,71,60,75,40,67,,66,85,,,,,,,,
,7156,71,80,60,54,51,52,85,,88,,,,,,,,
CENTRAL,7198,66,91,64,52,41,67,79,,84,,,,,,,,
EAST,7001,82,64,58,56,,55,92,,74,,,,,,62,,
ALPHA,7185,67,59,70,64,46,67,87,,75,,,,,,,,
CENTRAL,7096,72,60,70,49,59,57,82,,87,,,,,,,,
EAST,7103,70,56,68,55,64,61,90,,74,,,,,,,,
WEST,7262,66,75,64,68,54,53,,,84,,72,,,,,,
ALPHA,7143,72,69,57,56,62,60,79,,76,,,,,,,,
SOUTH,7021,67,40,62,64,63,77,77,,81,,,,,,,,
WEST,7190,65,65,54,70,62,62,,,86,65,,,,,,,
EAST,6989,57,63,69,49,70,77,,,64,,,,91,,,,
CENTRAL,7264,71,69,72,37,54,60,,,87,,,83,,,,,
SOUTH,7063,62,55,61,77,52,67,,,69,,,93,,,,,
CENTRAL,7162,63,59,73,49,65,57,,,81,,,83,,,,,
EAST,7199,75,75,57,48,63,67,,,78,,,,,,63,,
,7026,69,64,65,58,,66,,58,72,,,,78,,,,
NORTH,7038,79,71,58,60,53,66,,,80,,,,,,61,,
SOUTH,7003,64,65,52,54,,58,,70,84,,,,81,,,,
,7067,69,74,33,66,,55,70,,81,,,80,,,,,
,7106,61,83,68,68,,62,64,,83,,,,,,43,,
WEST,7268,70,78,50,58,,40,,62,81,,,,87,,,,
NORTH,6966,70,80,45,65,,52,,70,81,,,,,58,,,
,7024,61,73,48,59,68,60,73,,87,,,,,,,,
CENTRAL,7060,65,80,47,44,,51,87,,85,,,,,,,,70
SOUTH,6955,69,61,45,62,,69,,58,84,,,80,,,,,
NORTH,7224,60,78,48,60,,45,,68,78,,,84,,,,,
ALPHA,6969,67,71,47,48,,55,84,,77,,,,68,,,,
,7051,59,54,40,65,,62,82,,77,,,,78,,,,
SOUTH,7075,58,61,66,64,62,73,,,81,,,,,,54,,
WEST,7142,65,86,55,68,51,59,,,74,,,,,,63,,
CENTRAL,7300,61,69,61,54,62,45,,,81,,,,83,,,,
,7170,60,65,61,64,67,57,,,73,,65,,,,,,
NORTH,7272,58,55,47,60,,50,76,,85,,,83,,,,,
WEST,7088,59,75,58,65,,66,,53,71,,,,69,,,,
WEST,6986,78,83,64,50,,42,61,,88,54,,,,,,,
NORTH,7086,67,64,54,61,63,62,,,81,,,,,64,,,
ALPHA,7089,55,63,62,54,,56,84,,72,68,,,,,,,
CENTRAL,7168,53,61,43,55,,54,82,,83,,,81,,,,,
,7007,73,80,47,53,,46,,65,75,,,74,,,,,
EAST,7169,67,69,71,43,53,70,,,72,,,,,,69,,
SOUTH,7249,70,58,47,56,,56,66,,85,,,,,,,,72
NORTH,7296,63,59,67,55,,60,,61,71,,,,,,,,72
ALPHA,7119,73,65,52,55,56,64,,,65,,,,,,,,76
CENTRAL,6964,58,54,41,54,70,67,81,,85,,,,,,,,
,7158,67,68,49,61,,54,84,,80,,,,,,50,,
NORTH,7164,53,70,43,54,,66,,62,76,,,89,,,,,
EAST,7223,68,58,61,54,,51,72,,65,,,,,,,78,
CENTRAL,7126,60,71,67,51,53,56,71,,74,,,,,,,,
EAST,7151,74,56,60,52,62,50,,,72,,,76,,,,,
SOUTH,7123,63,55,48,72,,57,,60,83,,,,68,,,,
WEST,7016,60,83,56,72,28,63,,,70,,,,70,,,,
NORTH,7247,62,70,56,65,40,57,,,79,,,,,,,,71
SOUTH,7165,64,56,53,55,55,71,,65,82,,,,,,,,
EAST,7115,71,75,70,40,49,63,,70,60,,,,,,,,
ALPHA,6957,58,54,60,42,,50,91,,77,,,79,,,,,
CENTRAL,7186,61,78,43,44,,44,73,,85,,,86,,,,,
ALPHA,7302,59,63,46,68,,58,,61,66,,,,,,,,85
EAST,7163,58,53,65,59,58,65,,66,78,,,,,,,,
,7099,70,59,53,51,,52,83,,82,,,,,,52,,
SOUTH,7260,66,43,63,58,61,66,69,,80,,,,,,,,
WEST,7214,62,75,51,57,,36,79,,73,,,66,,,,,
SOUTH,7183,75,50,46,52,,66,58,,79,,,,,,,,71
WEST,7082,55,73,52,50,42,71,,,82,,73,,,,,,
CENTRAL,7216,69,84,33,54,,49,73,,83,,,,61,,,,
NORTH,7206,68,63,44,52,,61,,62,79,,,,,,,,72
SOUTH,7069,63,53,63,55,,52,76,,78,,,,,59,,,
,7136,59,71,44,50,,47,,69,78,,,,,,,,82
WEST,7274,63,78,45,44,,63,74,,65,,,,69,,,,
ALPHA,7215,57,76,27,56,,54,82,,80,,,,,,,,66
,7056,56,56,53,65,,51,69,,79,,,,,,,,66
NORTH,7098,67,64,60,55,62,64,,62,64,,,,,,,,
SOUTH,6967,62,61,66,51,58,63,,61,72,,,,,,,,
EAST,7277,79,74,44,49,,54,63,,72,,,,,66,,,
ALPHA,6993,58,53,56,56,,58,,56,74,,,,,,,,86
EAST,6995,70,59,51,61,63,61,,,63,,,,,64,,,
NORTH,7188,71,63,41,60,,47,,50,74,,,87,,,,,
WEST,7052,63,79,45,65,,43,,65,80,,,,,51,,,
WEST,7018,65,75,38,57,,42,55,,82,,73,,,,,,
ALPHA,7222,55,54,36,54,,56,85,,83,,,,,,,,69
ALPHA,7125,67,68,55,46,38,62,,65,86,,,,,,,,
SOUTH,6994,62,44,60,57,48,60,,,84,,,,,,,,72
WEST,6962,54,80,40,49,,40,75,,77,,,70,,,,,
ALPHA,7233,65,66,16,57,48,57,,,81,,,90,,,,,
WEST,7034,51,76,51,55,36,53,,,78,,,,82,,,,
WEST,7130,40,83,39,46,,42,68,,84,,,84,,,,,
NORTH,7280,55,58,48,54,,60,,69,64,,,75,,,,,
,6990,66,75,59,44,,35,75,,74,,,,,52,,,
